Song,Artist
As It Was,Harry Styles
Bad Habit,Steve Lacy
About Damn Time,Lizzo
Running Up That Hill (A Deal With God),Kate Bush
Sunroof,Nicky Youre & dazy
Hold Me Closer,Elton John & Britney Spears
Super Freaky Girl,Nicki Minaj
I Like You (A Happier Song),Post Malone Featuring Doja Cat
Break My Soul,Beyonce
Wait For U,Future Featuring Drake & Tems
Me Porto Bonito,Bad Bunny & Chencho Corleone
Late Night Talking,Harry Styles
You Proof,Morgan Wallen
I Ain't Worried,OneRepublic
The Kind Of Love We Make,Luke Combs
Titi Me Pregunto,Bad Bunny
God Did,"DJ Khaled Featuring Rick Ross, Lil Wayne, JAY-Z, John Legend & Fridayy"
First Class,Jack Harlow
Heat Waves,Glass Animals
Wasted On You,Morgan Wallen
Staying Alive,DJ Khaled Featuring Drake & Lil Baby
She Had Me At Heads Carolina,Cole Swindell
Jimmy Cooks,Drake Featuring 21 Savage
Stay,The Kid LAROI & Justin Bieber
Vegas,Doja Cat
Glimpse Of Us,Joji
Last Night Lonely,Jon Pardi
5 Foot 9,Tyler Hubbard
Beautiful,DJ Khaled Featuring Future & SZA
Moscow Mule,Bad Bunny
Big Time,DJ Khaled Featuring Future & Lil Baby
Big Energy,Latto
Betty (Get Money),Yung Gravy
Ghost,Justin Bieber
Shivers,Ed Sheeran
Beat The Odds,Lil Tjay
Gatubela,Karol G x Maldy
Rock And A Hard Place,Bailey Zimmerman
Efecto,Bad Bunny
In A Minute,Lil Baby
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Something In The Orange,Zach Bryan
Son Of A Sinner,Jelly Roll
Numb,Marshmello & Khalid
Fall In Love,Bailey Zimmerman
Provenza,Karol G
Left And Right,Charlie Puth Featuring Jung Kook
Numb Little Bug,Em Beihold
Use This Gospel (Remix),DJ Khaled Featuring Kanye West & Eminem
Unstoppable,Sia
Wishful Drinking,Ingrid Andress With Sam Hunt
Like I Love Country Music,Kane Brown
Pink Venom,BLACKPINK
Dah Dah DahDah,Nardo Wick
Juice WRLD Did,DJ Khaled Featuring Juice WRLD
Sticky,Drake
Keep Going,"DJ Khaled Featuring Lil Durk, 21 Savage & Roddy Ricch"
Bones,Imagine Dragons
Victoriaâ€™s Secret,Jax
Hot Shit,"Cardi B, Ye & Lil Durk"
Free Mind,Tems
Sleazy Flow,SleazyWorld Go Featuring Lil Baby
So Good,Halsey
With A Woman You Love,Justin Moore
Party,Bad Bunny & Rauw Alejandro
Party,DJ Khaled Featuring Quavo & Takeoff
Last Last,Burna Boy
Ojitos Lindos,Bad Bunny & Bomba Estereo
Die For You,The Weeknd
Truth About You,Mitchell Tenpenny
Golden Hour,JVKE
Where It Ends,Bailey Zimmerman
F.N.F. (Let's Go),Hitkidd & GloRilla
Despues de La Playa,Bad Bunny
Despecha,Rosalia
Alone,Rod Wave
It Ain't Safe,DJ Khaled Featuring Nardo Wick & Kodak Black
No Secret,DJ Khaled Featuring Drake
Neverita,Bad Bunny
Pick Me Up,Gabby Barrett
I'm Good (Blue),David Guetta & Bebe Rexha
Whiskey On You,Nate Smith
Tarot,Bad Bunny & Jhay Cortez
She Likes It,Russell Dickerson & Jake Scott
Ghost Story,Carrie Underwood
Let's Pray,DJ Khaled Featuring Don Toliver & Travis Scott
Until I Found You,Stephen Sanchez
All Mine,Brent Faiyaz
Bad Decisions,"benny blanco, BTS & Snoop Dogg"
Alien Superstar,Beyonce
Puffin On Zootiez,Future
Half Of Me,Thomas Rhett Featuring Riley Green
What My World Spins Around,Jordan Davis
Hotel Lobby (Unc And Phew),Quavo & Takeoff
La Bachata,Manuel Turizo
Thought You Should Know,Morgan Wallen
2 Be Loved (Am I Ready),Lizzo
Wait In The Truck,HARDY Featuring Lainey Wilson
La Corriente,Bad Bunny & Tony Dize
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo
